TYPE,CONTEXT,MOD,X,FUNC,METH_TO
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_attribute,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_attribute,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_attribute_ns,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_attribute_ns,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_full_end_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_element_ns,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_element_ns,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_pi,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_pi,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_pi,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_cdata,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_cdata,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_cdata,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_text,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_raw,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_document,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_document,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_comment,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_dtd,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_dtd,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_dtd,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_dtd_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_dtd_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_dtd_element,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_dtd_attlist,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_dtd_attlist,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_write_dtd_attlist,
