Country Code;MIN;MAX;MIX
KN;UTC -04:00;UTC -04:00;UTC -04:00
LC;UTC -04:00;UTC -04:00;UTC -04:00
MF;UTC -04:00;UTC -04:00;UTC -04:00
PM;UTC -03:00;UTC -03:00;UTC -03:00
VC;UTC -04:00;UTC -04:00;UTC -04:00
WS;UTC +14:00;UTC +14:00;UTC +14:00
SM;UTC +01:00;UTC +01:00;UTC +01:00
ST;UTC;UTC;UTC
SA;UTC +03:00;UTC +03:00;UTC +03:00
SN;UTC;UTC;UTC
RS;UTC +01:00;UTC +01:00;UTC +01:00
SC;UTC +04:00;UTC +04:00;UTC +04:00
SL;UTC;UTC;UTC
SG;UTC +08:00;UTC +08:00;UTC +08:00
SX;UTC -04:00;UTC -04:00;UTC -04:00
SK;UTC +01:00;UTC +01:00;UTC +01:00
SI;UTC +01:00;UTC +01:00;UTC +01:00
SB;UTC +11:00;UTC +11:00;UTC +11:00
SO;UTC +03:00;UTC +03:00;UTC +03:00
ZA;UTC +02:00;UTC +02:00;UTC +02:00
GS;UTC -02:00;UTC -02:00;UTC -02:00
KR;UTC +09:00;UTC +09:00;UTC +09:00
SS;UTC +03:00;UTC +03:00;UTC +03:00
ES;UTC;UTC +01:00;UTC / UTC +01:00
LK;UTC +05:30;UTC +05:30;UTC +05:30
SD;UTC +02:00;UTC +02:00;UTC +02:00
SR;UTC -03:00;UTC -03:00;UTC -03:00
SJ;UTC +01:00;UTC +01:00;UTC +01:00
SZ;UTC +02:00;UTC +02:00;UTC +02:00
SE;UTC +01:00;UTC +01:00;UTC +01:00
CH;UTC +01:00;UTC +01:00;UTC +01:00
SY;UTC +02:00;UTC +02:00;UTC +02:00
TW;UTC +08:00;UTC +08:00;UTC +08:00
TJ;UTC +05:00;UTC +05:00;UTC +05:00
TZ;UTC +03:00;UTC +03:00;UTC +03:00
TH;UTC +07:00;UTC +07:00;UTC +07:00
TG;UTC;UTC;UTC
TK;UTC +13:00;UTC +13:00;UTC +13:00
TO;UTC +13:00;UTC +13:00;UTC +13:00
TT;UTC -04:00;UTC -04:00;UTC -04:00
TN;UTC +01:00;UTC +01:00;UTC +01:00
TR;UTC +03:00;UTC +03:00;UTC +03:00
TM;UTC +05:00;UTC +05:00;UTC +05:00
TC;UTC -05:00;UTC -05:00;UTC -05:00
TV;UTC +12:00;UTC +12:00;UTC +12:00
VI;UTC -04:00;UTC -04:00;UTC -04:00
UG;UTC +03:00;UTC +03:00;UTC +03:00
UA;UTC +02:00;UTC +02:00;UTC +02:00
AE;UTC +04:00;UTC +04:00;UTC +04:00
GB;UTC;UTC;UTC
US;UTC -10:00;UTC -05:00;UTC -10:00 / UTC -05:00
UM;UTC -11:00;UTC +12:00;UTC -11:00 / UTC +12:00
UY;UTC -03:00;UTC -03:00;UTC -03:00
