#From a base of 26068472 hosts; at date 23/11/2018;ignored all that have < 100 hits.
parafia 151 0,0006%
premium 151 0,0006%
sexy 151 0,0006%
ve 151 0,0006%
youth 151 0,0006%
agents 150 0,0006%
daniel 150 0,0006%
fire 150 0,0006%
parents 150 0,0006%
proxy 150 0,0006%
ri 150 0,0006%
usedcars 150 0,0006%
webadvisor 150 0,0006%
wi 150 0,0006%
album 149 0,0006%
krakow 149 0,0006%
madison 149 0,0006%
mba 149 0,0006%
minnesota 149 0,0006%
planning 149 0,0006%
virginia 149 0,0006%
volunteer 149 0,0006%
feed 148 0,0006%
fitness 148 0,0006%
fs 148 0,0006%
its 148 0,0006%
l 148 0,0006%
passport 148 0,0006%
peru 148 0,0006%
pictures 148 0,0006%
praca 148 0,0006%
tourism 148 0,0006%
v1 148 0,0006%
venezuela 148 0,0006%
whois 148 0,0006%
academic 147 0,0006%
birmingham 147 0,0006%
cart 147 0,0006%
detroit 147 0,0006%
group 147 0,0006%
intra 147 0,0006%
quiz 147 0,0006%
review 147 0,0006%
10 146 0,0006%
dealers 146 0,0006%
registrar 146 0,0006%
vision 146 0,0006%
vote 146 0,0006%
alex 145 0,0006%
am 145 0,0006%
columbia 145 0,0006%
cooking 145 0,0006%
employment 145 0,0006%
entertainment 145 0,0006%
mario 145 0,0006%
memphis 145 0,0006%
mr 145 0,0006%
richmond 145 0,0006%
selfservice 145 0,0006%
thailand 145 0,0006%
toyota 145 0,0006%
casino 144 0,0006%
outlook 144 0,0006%
speed 144 0,0006%
summit 144 0,0006%
alabama 143 0,0005%
colombia 143 0,0005%
illiad 143 0,0005%
listserv 143 0,0005%
moto 143 0,0005%
project 143 0,0005%
stock 143 0,0005%
testing 143 0,0005%
abc 142 0,0005%
find 142 0,0005%
mychart 142 0,0005%
tc 142 0,0005%
teens 142 0,0005%
tomsk 142 0,0005%
tweets 142 0,0005%
wellness 142 0,0005%
chelyabinsk 141 0,0005%
eservices 141 0,0005%
insurance 141 0,0005%
jacksonville 141 0,0005%
tampa 141 0,0005%
teen 141 0,0005%
webapp 141 0,0005%
www8 141 0,0005%
applications 140 0,0005%
ba 140 0,0005%
brasil 140 0,0005%
cf 140 0,0005%
dj 140 0,0005%
file 140 0,0005%
mike 140 0,0005%
mk 140 0,0005%
sos 140 0,0005%
spain 140 0,0005%
tips 140 0,0005%
apple 139 0,0005%
basketball 139 0,0005%
hotmail 139 0,0005%
mirrors 139 0,0005%
odessa 139 0,0005%
ottawa 139 0,0005%
